,artista,listeners,playcount,biografia,artistas_similares
60,Blu,346683,5579317,"There are 2 artists with the name Blu:
1. An American rapper and producer from Los Angeles, California.
2. An ambient drum and bass musician located in the United Kingdom.

(1) Johnson Barnes (born April 15, 1983 in Inglewood, California), better known by the stage name Blu, is an American rapper and producer. In 2007 he released his debut album, ""Below the Heavens"", which was produced entirely by Exile, one half of Emanon. Since then he has collaborated with Mainframe under the name Johnson&Jonson, and with Ta'Raach under the name C. <a href=""https://www.last.fm/music/Blu"">Read more on Last.fm</a>","['Blu & Exile', 'Elzhi', 'Fashawn', 'Skyzoo']"
61,Grip,91039,1087337,"GRIP has been called “Atlanta’s Next Great Storyteller” and is quickly generating buzz and acclaim. He dropped his breakout project “Porch” in 2017, followed by “Snubhouse” in 2019. Then he dropped two more new projects called “Halo” and “Proboscidea“. GRIP’s lyrical music and building popularity caught the ear of Paul Rosenberg, who then introduced him to Eminem.

“Grip is the type of artist that brings you into his world and expresses himself through a complete composed body of work. <a href=""https://www.last.fm/music/Grip"">Read more on Last.fm</a>","['Royce da 5\'9""', 'Bad Meets Evil', 'Eminem', 'Slaughterhouse']"
62,sleeping with shoes on,2764,7023," <a href=""https://www.last.fm/music/sleeping+with+shoes+on"">Read more on Last.fm</a>","['Nilok', 'Kaidon Roddy', 'jakuub', 'Slify']"
63,Murs,359967,5268370,"Murs (born Nick Carter, March 16, 1978), is an underground MC from Mid-City Los Angeles, CA.  The name 'MURS' is an acronym for Making Underground Raw Shit. He began to opening eyes as a solo artist in 2002, with the releases of both the full length Def Jux release The End Of The Beginning and the more introspective Varsity Blues EP.  Then Murs & 9th Wonder releasing an even more popular and critically acclaimed album called Murs 3:16 - The 9th Edition. <a href=""https://www.last.fm/music/Murs"">Read more on Last.fm</a>","['Living Legends', 'Brother Ali', 'Atmosphere', 'Mr. Lif']"
64,Mr. Cream,937,1966," <a href=""https://www.last.fm/music/Mr.+Cream"">Read more on Last.fm</a>","['1000volts', '40XL', 'Ufo Fev', '2nd Generation Wu']"
65,Maadmax Vibes,36,44," <a href=""https://www.last.fm/music/Maadmax+Vibes"">Read more on Last.fm</a>",[]
66,Ginge,38542,196807,"Her voice can be sultry and sharp at the same time, making her sound both sweet and spicy. GINGE is an independent artist from the Netherlands. Inspired by artists like Joy Crookes, Amy Winehouse & Snoh Aalegra, she makes songs that are a mixture of RnB, Pop, and Neo-soul.

In 2017 GINGE started writing and making her own music. Starting out with producer Clarx Kent she found the power of turning her own experiences into her songs. With the help of .multibeat she embraced her soulful side. <a href=""https://www.last.fm/music/Ginge"">Read more on Last.fm</a>","['Son Mieux', 'Alex Isley', 'Muylike', 'Vitor Brauer']"
67,Will Smith,1569607,15049643,"Willard Christopher Smith II (born September 25, 1968) is an American Oscar winning actor and a multiple Grammy winning hip hop artist. He is one of few people who have enjoyed legitimate success in the three major entertainment media in the United States: film, television, and the music industry.

Will Smith was born and raised in West Philadelphia. He spent most of his days in a playground, training basketball and relaxing all cool. Career-wise <a href=""https://www.last.fm/music/Will+Smith"">Read more on Last.fm</a>","['DJ Jazzy Jeff & The Fresh Prince', 'Nelly', 'Kris Kross', 'MC Hammer']"
68,locs,7821,30994," <a href=""https://www.last.fm/music/locs"">Read more on Last.fm</a>","['Neaux ID', 'Joey Aich', 'Mazen', 'Tattie']"
69,J-Shin,9618,56021,"Jonathan Shinhoster (born in Liberty City, Florida in 1984) is an American R&B singer. He is best known by his stage name, J-Shin. He is best known for his 1999 hit single ""One Night Stand"" that featured Latocha Scott from Xscape. His debut album “My Soul, My Life” was released in 1999 and his single, “One Night Stand” scanned over 450,000 copies. Two music videos, “One Night Stand” and “I Treat You Better”, were released. He is currently <a href=""https://www.last.fm/music/J-Shin"">Read more on Last.fm</a>","['Latif', 'Bobby Tinsley', 'Razah', 'Reynard Silva']"
70,lil Mosey,763070,19638253,"Lathan Moses Stanley Echols (born January 25, 2002), known professionally as Lil Mosey, is an American rapper, singer, and songwriter. He first gained mainstream success with his song ""Noticed"", which peaked at #80 on the Billboard Hot 100. He dropped his debut mixtape Northsbest in 2018, which was eventually certified Gold. A year later, he dropped his sophomore mixtape, Certified Hitmaker, featuring Gunna, Chris Brown, and Trippie Redd. Shortly afterwards <a href=""https://www.last.fm/music/lil+Mosey"">Read more on Last.fm</a>",[]
71,lil Mosey,763070,19638253,"Lathan Moses Stanley Echols (born January 25, 2002), known professionally as Lil Mosey, is an American rapper, singer, and songwriter. He first gained mainstream success with his song ""Noticed"", which peaked at #80 on the Billboard Hot 100. He dropped his debut mixtape Northsbest in 2018, which was eventually certified Gold. A year later, he dropped his sophomore mixtape, Certified Hitmaker, featuring Gunna, Chris Brown, and Trippie Redd. Shortly afterwards <a href=""https://www.last.fm/music/lil+Mosey"">Read more on Last.fm</a>",[]
72,toilet dreamzzz,8,16," <a href=""https://www.last.fm/music/toilet+dreamzzz"">Read more on Last.fm</a>",[]
73,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
74,Supreme Allah,36,137," <a href=""https://www.last.fm/music/Supreme+Allah"">Read more on Last.fm</a>",[]
75,FRANK MULLAH,85,146," <a href=""https://www.last.fm/music/FRANK+MULLAH"">Read more on Last.fm</a>","['Tee Thee OG from KMC', 'Blair Webster', '3IRD ROC', 'Nydia Virginia']"
76,Justin Stone,84018,1335489,"25-year-old alternative hip-hop artist bringing together a melting pot genre mixed with pop, punk, emo and rap. He is known for his album ""Not Really Famous"". He recently hit 100 million streams on Spotify. Other notable albums include ""Long Time Coming"", ""Beauty in the Struggle"", and ""I’ve Been Here Before"". In addition to these albums, Justin has released a plethora of EPs and singles. Justin was on the Missing Pieces Tour with Hi-Rez and Emilio Rojas. He also was on Ryan Caraveo’s 2018 Spring Tour and on the I Prevail's 2019 Trauma Tour. <a href=""https://www.last.fm/music/Justin+Stone"">Read more on Last.fm</a>","['Ryan Caraveo', 'Jez Dior', 'Witt Lowry', 'Ivan B']"
77,lil Mosey,763070,19638253,"Lathan Moses Stanley Echols (born January 25, 2002), known professionally as Lil Mosey, is an American rapper, singer, and songwriter. He first gained mainstream success with his song ""Noticed"", which peaked at #80 on the Billboard Hot 100. He dropped his debut mixtape Northsbest in 2018, which was eventually certified Gold. A year later, he dropped his sophomore mixtape, Certified Hitmaker, featuring Gunna, Chris Brown, and Trippie Redd. Shortly afterwards <a href=""https://www.last.fm/music/lil+Mosey"">Read more on Last.fm</a>",[]
78,Token,144588,3391649,"Ben Goldberg, known by his stage name Token, grew up north of Boston, MA. At a young age Ben was introduced to hip-hop and by the age of 6, began writing down his thoughts and emotions from events in his life and expressing himself through poetry. At the age of 10, Ben began putting melody to these lyrics and recording these poems as raps. What had started out as an outlet of expression soon became his passion. Rather than hanging out with friends as most kids his age were doing <a href=""https://www.last.fm/music/Token"">Read more on Last.fm</a>","['Hopsin', 'Joyner Lucas', 'Chris Webby', 'Cal Scruby']"
79,Lil Yachty,1393261,91809843,"Miles Parks McCollum (born August 23, 1997), better known as his stage name Lil Yachty, is an American hip hop recording artist from Atlanta, Georgia. Yachty gained recognition for his hit debut singles One Night and Minnesota from his debut mixtape Lil Boat in 2016.  In February 2016, Yachty debuted as a model in Kanye West's Yeezy Season 3 fashion line at Madison Square Garden.  On June 10, 2016 he announced he had signed a joint venture record deal with Quality Control Music, Capitol Records and Motown Records. <a href=""https://www.last.fm/music/Lil+Yachty"">Read more on Last.fm</a>","['Lil Uzi Vert', 'Young Nudy', 'Baby Keem', 'Trippie Redd']"
80,Young Mandrilo,49,120," <a href=""https://www.last.fm/music/Young+Mandrilo"">Read more on Last.fm</a>",['Logi K']
81,dead prez,521498,6620491,"Dead Prez is an underground hip-hop duo which formed in 1996 in New York City, New York, United States, consisting of rapper stic.man and M-1. They have released three albums, ""Let's Get Free"" (2000),  ""Revolutionary But Gangsta"" (2004), and ""Information Age"" (2012). The duo has also released several mixtapes.

They are known for their sometimes confrontational style, combined with socialist lyrics focused on both militant social justice, and also positivity. <a href=""https://www.last.fm/music/dead+prez"">Read more on Last.fm</a>","['Immortal Technique', 'The Coup', 'Talib Kweli', 'Brother Ali']"
82,Maadmax Vibes,36,44," <a href=""https://www.last.fm/music/Maadmax+Vibes"">Read more on Last.fm</a>",[]
83,Jaah SLT,75139,754719,"Jamir Quincy Rucks (July 21, 2000 - August 13, 2022), better known by his stage name Jaah SLT, was an American rapper and songwriter. He was signed to Alamo Records. Jaah's first few songs on SoundCloud were released under the name ""jaah"".

He blew up when his song Tuff went viral on TikTok. 

Jaah SLT released his debut project 9-25-20 on September 25th, 2020.

On August 13th, 2022, Jamir was tragically shot and killed. He was 22 years old. <a href=""https://www.last.fm/music/Jaah+SLT"">Read more on Last.fm</a>","['Dee Watkins', 'Lil Loaded', 'DaBaby', 'NLE Choppa']"
84,NF,1017129,70629574,"NF is the stage name of rapper and composer Nate Feuerstein from Gladwin, Michigan. Feuerstein endured a hardship-filled childhood in which his parents divorced, his mother's boyfriend physically abused him, and his mother eventually killed herself. Music was his escape, and he began recording songs on a karaoke machine, with instrumentals on one microphone and his raps in the other. Placing second in a nationwide Fine Arts Festival rap competition in 2008 <a href=""https://www.last.fm/music/NF"">Read more on Last.fm</a>","['Witt Lowry', 'Ivan B', 'Lucidious', 'Joyner Lucas']"
85,Doughphresh Da Don,680,11441," <a href=""https://www.last.fm/music/Doughphresh+Da+Don"">Read more on Last.fm</a>","['OfficialShow', 'A-Money Nichols', 'BoSwift', 'John Lygnos']"
86,sleeping with shoes on,2764,7023," <a href=""https://www.last.fm/music/sleeping+with+shoes+on"">Read more on Last.fm</a>","['Nilok', 'Kaidon Roddy', 'jakuub', 'Slify']"
87,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
